Leading and Trailing Edges:
      xle          yle          zle          xte          yte          zte
      6.6900       0.0000       1.3020       8.9180       0.0000       1.1852
      6.6900       1.0250       1.3020       8.9180       1.0250       1.1852
      6.6900       6.1500       1.4810       8.9180       6.1500       1.3642
      6.8239      10.2500       1.6241       8.1609      10.2500       1.6008
 
Grids spanwise:        21
Grids clockwise:       15
Panels:               280
  Grid    Span    Chord       xle         yle         zle         xte         yte         zte         dx
     112       7       6      6.6900      3.6900      1.3951      8.9180      3.6900      1.2783      0.0000
     113       8       6      6.6900      4.3050      1.4165      8.9180      4.3050      1.2998      0.0000
     114       9       6      6.6900      4.9200      1.4380      8.9180      4.9200      1.3213      0.0000
     115      10       6      6.6900      5.4325      1.4559      8.9180      5.4325      1.3391      0.0000
     116      11       6      6.6900      6.0475      1.4774      8.9180      6.0475      1.3606      0.0000
     117      12       6      6.6900      6.1500      1.4810      8.9180      6.1500      1.3642      0.0000
     118      13       6      6.6965      6.3499      1.4879      8.8811      6.3499      1.3757      0.0000
     119      14       6      6.7067      6.6625      1.4989      8.8234      6.6625      1.3938      0.0000
     120      15       6      6.7235      7.1750      1.5168      8.7287      7.1750      1.4234      0.0000
     121      16       6      6.7402      7.6875      1.5347      8.6341      7.6875      1.4529      0.0000
     122      17       6      6.7570      8.2000      1.5526      8.5395      8.2000      1.4825      0.0000
     123      18       6      6.7737      8.7125      1.5705      8.4448      8.7125      1.5121      0.0000
     124      19       6      6.7904      9.2250      1.5883      8.3502      9.2250      1.5417      0.0000
     125      20       6      6.8072      9.7375      1.6062      8.2555      9.7375      1.5712      0.0000
     126      21       6      6.8239     10.2500      1.6241      8.1609     10.2500      1.6008      0.0000
     127       1       7      6.6900      0.0000      1.3020      8.9180      0.0000      1.1852      0.0000
     128       2       7      6.6900      1.0250      1.3020      8.9180      1.0250      1.1852      0.0000
     129       3       7      6.6900      1.2300      1.3092      8.9180      1.2300      1.1924      0.0000
     130       4       7      6.6900      1.8450      1.3306      8.9180      1.8450      1.2139      0.0000
     131       5       7      6.6900      2.4600      1.3521      8.9180      2.4600      1.2353      0.0000
     132       6       7      6.6900      3.0750      1.3736      8.9180      3.0750      1.2568      0.0000
     133       7       7      6.6900      3.6900      1.3951      8.9180      3.6900      1.2783      0.0000
     134       8       7      6.6900      4.3050      1.4165      8.9180      4.3050      1.2998      0.0000
     135       9       7      6.6900      4.9200      1.4380      8.9180      4.9200      1.3213      0.0000
     136      10       7      6.6900      5.4325      1.4559      8.9180      5.4325      1.3391      0.0000
     137      11       7      6.6900      6.0475      1.4774      8.9180      6.0475      1.3606      0.0000
     138      12       7      6.6900      6.1500      1.4810      8.9180      6.1500      1.3642      0.0000
     139      13       7      6.6965      6.3499      1.4879      8.8811      6.3499      1.3757      0.0000
     140      14       7      6.7067      6.6625      1.4989      8.8234      6.6625      1.3938      0.0000
     141      15       7      6.7235      7.1750      1.5168      8.7287      7.1750      1.4234      0.0000
     142      16       7      6.7402      7.6875      1.5347      8.6341      7.6875      1.4529      0.0000
     143      17       7      6.7570      8.2000      1.5526      8.5395      8.2000      1.4825      0.0000
     144      18       7      6.7737      8.7125      1.5705      8.4448      8.7125      1.5121      0.0000
     145      19       7      6.7904      9.2250      1.5883      8.3502      9.2250      1.5417      0.0000
     146      20       7      6.8072      9.7375      1.6062      8.2555      9.7375      1.5712      0.0000
     147      21       7      6.8239     10.2500      1.6241      8.1609     10.2500      1.6008      0.0000
     148       1       8      6.6900      0.0000      1.3020      8.9180      0.0000      1.1852      0.0000
     149       2       8      6.6900      1.0250      1.3020      8.9180      1.0250      1.1852      0.0000
     150       3       8      6.6900      1.2300      1.3092      8.9180      1.2300      1.1924      0.0000
     151       4       8      6.6900      1.8450      1.3306      8.9180      1.8450      1.2139      0.0000
     152       5       8      6.6900      2.4600      1.3521      8.9180      2.4600      1.2353      0.0000
     153       6       8      6.6900      3.0750      1.3736      8.9180      3.0750      1.2568      0.0000
     154       7       8      6.6900      3.6900      1.3951      8.9180      3.6900      1.2783      0.0000
     155       8       8      6.6900      4.3050      1.4165      8.9180      4.3050      1.2998      0.0000
     156       9       8      6.6900      4.9200      1.4380      8.9180      4.9200      1.3213      0.0000
     157      10       8      6.6900      5.4325      1.4559      8.9180      5.4325      1.3391      0.0000
     158      11       8      6.6900      6.0475      1.4774      8.9180      6.0475      1.3606      0.0000
     159      12       8      6.6900      6.1500      1.4810      8.9180      6.1500      1.3642      0.0000
     160      13       8      6.6965      6.3499      1.4879      8.8811      6.3499      1.3757      0.0000
     161      14       8      6.7067      6.6625      1.4989      8.8234      6.6625      1.3938      0.0000
     162      15       8      6.7235      7.1750      1.5168      8.7287      7.1750      1.4234      0.0000
     163      16       8      6.7402      7.6875      1.5347      8.6341      7.6875      1.4529      0.0000
     164      17       8      6.7570      8.2000      1.5526      8.5395      8.2000      1.4825      0.0000
     165      18       8      6.7737      8.7125      1.5705      8.4448      8.7125      1.5121      0.0000
     166      19       8      6.7904      9.2250      1.5883      8.3502      9.2250      1.5417      0.0000
     167      20       8      6.8072      9.7375      1.6062      8.2555      9.7375      1.5712      0.0000
     168      21       8      6.8239     10.2500      1.6241      8.1609     10.2500      1.6008      0.0000
     169       1       9      6.6900      0.0000      1.3020      8.9180      0.0000      1.1852      0.0000
     170       2       9      6.6900      1.0250      1.3020      8.9180      1.0250      1.1852      0.0000
     171       3       9      6.6900      1.2300      1.3092      8.9180      1.2300      1.1924      0.0000
     172       4       9      6.6900      1.8450      1.3306      8.9180      1.8450      1.2139      0.0000
     173       5       9      6.6900      2.4600      1.3521      8.9180      2.4600      1.2353      0.0000
     174       6       9      6.6900      3.0750      1.3736      8.9180      3.0750      1.2568      0.0000
     175       7       9      6.6900      3.6900      1.3951      8.9180      3.6900      1.2783      0.0000
     176       8       9      6.6900      4.3050      1.4165      8.9180      4.3050      1.2998      0.0000
     177       9       9      6.6900      4.9200      1.4380      8.9180      4.9200      1.3213      0.0000
     178      10       9      6.6900      5.4325      1.4559      8.9180      5.4325      1.3391      0.0000
     179      11       9      6.6900      6.0475      1.4774      8.9180      6.0475      1.3606      0.0000
     180      12       9      6.6900      6.1500      1.4810      8.9180      6.1500      1.3642      0.0000
     181      13       9      6.6965      6.3499      1.4879      8.8811      6.3499      1.3757      0.0000
     182      14       9      6.7067      6.6625      1.4989      8.8234      6.6625      1.3938      0.0000
     183      15       9      6.7235      7.1750      1.5168      8.7287      7.1750      1.4234      0.0000
     184      16       9      6.7402      7.6875      1.5347      8.6341      7.6875      1.4529      0.0000
     185      17       9      6.7570      8.2000      1.5526      8.5395      8.2000      1.4825      0.0000
     186      18       9      6.7737      8.7125      1.5705      8.4448      8.7125      1.5121      0.0000
     187      19       9      6.7904      9.2250      1.5883      8.3502      9.2250      1.5417      0.0000
     188      20       9      6.8072      9.7375      1.6062      8.2555      9.7375      1.5712      0.0000
     189      21       9      6.8239     10.2500      1.6241      8.1609     10.2500      1.6008      0.0000
     190       1      10      6.6900      0.0000      1.3020      8.9180      0.0000      1.1852      0.0000
     191       2      10      6.6900      1.0250      1.3020      8.9180      1.0250      1.1852      0.0000
     192       3      10      6.6900      1.2300      1.3092      8.9180      1.2300      1.1924      0.0000
     193       4      10      6.6900      1.8450      1.3306      8.9180      1.8450      1.2139      0.0000
     194       5      10      6.6900      2.4600      1.3521      8.9180      2.4600      1.2353      0.0000
     195       6      10      6.6900      3.0750      1.3736      8.9180      3.0750      1.2568      0.0000
     196       7      10      6.6900      3.6900      1.3951      8.9180      3.6900      1.2783      0.0000
     197       8      10      6.6900      4.3050      1.4165      8.9180      4.3050      1.2998      0.0000
     198       9      10      6.6900      4.9200      1.4380      8.9180      4.9200      1.3213      0.0000
     199      10      10      6.6900      5.4325      1.4559      8.9180      5.4325      1.3391      0.0000
     200      11      10      6.6900      6.0475      1.4774      8.9180      6.0475      1.3606      0.0000
     201      12      10      6.6900      6.1500      1.4810      8.9180      6.1500      1.3642      0.0000
     202      13      10      6.6965      6.3499      1.4879      8.8811      6.3499      1.3757      0.0000
     203      14      10      6.7067      6.6625      1.4989      8.8234      6.6625      1.3938      0.0000
     204      15      10      6.7235      7.1750      1.5168      8.7287      7.1750      1.4234      0.0000
     205      16      10      6.7402      7.6875      1.5347      8.6341      7.6875      1.4529      0.0000
     206      17      10      6.7570      8.2000      1.5526      8.5395      8.2000      1.4825      0.0000
     207      18      10      6.7737      8.7125      1.5705      8.4448      8.7125      1.5121      0.0000
     208      19      10      6.7904      9.2250      1.5883      8.3502      9.2250      1.5417      0.0000
     209      20      10      6.8072      9.7375      1.6062      8.2555      9.7375      1.5712      0.0000
     210      21      10      6.8239     10.2500      1.6241      8.1609     10.2500      1.6008      0.0000
     211       1      11      6.6900      0.0000      1.3020      8.9180      0.0000      1.1852      0.0000
     212       2      11      6.6900      1.0250      1.3020      8.9180      1.0250      1.1852      0.0000
     213       3      11      6.6900      1.2300      1.3092      8.9180      1.2300      1.1924      0.0000
     214       4      11      6.6900      1.8450      1.3306      8.9180      1.8450      1.2139      0.0000
     215       5      11      6.6900      2.4600      1.3521      8.9180      2.4600      1.2353      0.0000
     216       6      11      6.6900      3.0750      1.3736      8.9180      3.0750      1.2568      0.0000
     217       7      11      6.6900      3.6900      1.3951      8.9180      3.6900      1.2783      0.0000
     218       8      11      6.6900      4.3050      1.4165      8.9180      4.3050      1.2998      0.0000
     219       9      11      6.6900      4.9200      1.4380      8.9180      4.9200      1.3213      0.0000
     220      10      11      6.6900      5.4325      1.4559      8.9180      5.4325      1.3391      0.0000
     221      11      11      6.6900      6.0475      1.4774      8.9180      6.0475      1.3606      0.0000
     222      12      11      6.6900      6.1500      1.4810      8.9180      6.1500      1.3642      0.0000
     223      13      11      6.6965      6.3499      1.4879      8.8811      6.3499      1.3757      0.0000
     224      14      11      6.7067      6.6625      1.4989      8.8234      6.6625      1.3938      0.0000
     225      15      11      6.7235      7.1750      1.5168      8.7287      7.1750      1.4234      0.0000
     226      16      11      6.7402      7.6875      1.5347      8.6341      7.6875      1.4529      0.0000
     227      17      11      6.7570      8.2000      1.5526      8.5395      8.2000      1.4825      0.0000
     228      18      11      6.7737      8.7125      1.5705      8.4448      8.7125      1.5121      0.0000
     229      19      11      6.7904      9.2250      1.5883      8.3502      9.2250      1.5417      0.0000
     230      20      11      6.8072      9.7375      1.6062      8.2555      9.7375      1.5712      0.0000
     231      21      11      6.8239     10.2500      1.6241      8.1609     10.2500      1.6008      0.0000
     232       1      12      6.6900      0.0000      1.3020      8.9180      0.0000      1.1852      0.0000
     233       2      12      6.6900      1.0250      1.3020      8.9180      1.0250      1.1852      0.0000
     234       3      12      6.6900      1.2300      1.3092      8.9180      1.2300      1.1924      0.0000
     235       4      12      6.6900      1.8450      1.3306      8.9180      1.8450      1.2139      0.0000
     236       5      12      6.6900      2.4600      1.3521      8.9180      2.4600      1.2353      0.0000
     237       6      12      6.6900      3.0750      1.3736      8.9180      3.0750      1.2568      0.0000
     238       7      12      6.6900      3.6900      1.3951      8.9180      3.6900      1.2783      0.0000
     239       8      12      6.6900      4.3050      1.4165      8.9180      4.3050      1.2998      0.0000
     240       9      12      6.6900      4.9200      1.4380      8.9180      4.9200      1.3213      0.0000
     241      10      12      6.6900      5.4325      1.4559      8.9180      5.4325      1.3391      0.0000
     242      11      12      6.6900      6.0475      1.4774      8.9180      6.0475      1.3606      0.0000
     243      12      12      6.6900      6.1500      1.4810      8.9180      6.1500      1.3642      0.0000
     244      13      12      6.6965      6.3499      1.4879      8.8811      6.3499      1.3757      0.0000
     245      14      12      6.7067      6.6625      1.4989      8.8234      6.6625      1.3938      0.0000
     246      15      12      6.7235      7.1750      1.5168      8.7287      7.1750      1.4234      0.0000
     247      16      12      6.7402      7.6875      1.5347      8.6341      7.6875      1.4529      0.0000
     248      17      12      6.7570      8.2000      1.5526      8.5395      8.2000      1.4825      0.0000
     249      18      12      6.7737      8.7125      1.5705      8.4448      8.7125      1.5121      0.0000
     250      19      12      6.7904      9.2250      1.5883      8.3502      9.2250      1.5417      0.0000
     251      20      12      6.8072      9.7375      1.6062      8.2555      9.7375      1.5712      0.0000
     252      21      12      6.8239     10.2500      1.6241      8.1609     10.2500      1.6008      0.0000
     253       1      13      6.6900      0.0000      1.3020      8.9180      0.0000      1.1852      0.0000
     254       2      13      6.6900      1.0250      1.3020      8.9180      1.0250      1.1852      0.0000
     255       3      13      6.6900      1.2300      1.3092      8.9180      1.2300      1.1924      0.0000
     256       4      13      6.6900      1.8450      1.3306      8.9180      1.8450      1.2139      0.0000
     257       5      13      6.6900      2.4600      1.3521      8.9180      2.4600      1.2353      0.0000
     258       6      13      6.6900      3.0750      1.3736      8.9180      3.0750      1.2568      0.0000
     259       7      13      6.6900      3.6900      1.3951      8.9180      3.6900      1.2783      0.0000
     260       8      13      6.6900      4.3050      1.4165      8.9180      4.3050      1.2998      0.0000
     261       9      13      6.6900      4.9200      1.4380      8.9180      4.9200      1.3213      0.0000
     262      10      13      6.6900      5.4325      1.4559      8.9180      5.4325      1.3391      0.0000
     263      11      13      6.6900      6.0475      1.4774      8.9180      6.0475      1.3606      0.0000
     264      12      13      6.6900      6.1500      1.4810      8.9180      6.1500      1.3642      0.0000
     265      13      13      6.6965      6.3499      1.4879      8.8811      6.3499      1.3757      0.0000
     266      14      13      6.7067      6.6625      1.4989      8.8234      6.6625      1.3938      0.0000
     267      15      13      6.7235      7.1750      1.5168      8.7287      7.1750      1.4234      0.0000
     268      16      13      6.7402      7.6875      1.5347      8.6341      7.6875      1.4529      0.0000
     269      17      13      6.7570      8.2000      1.5526      8.5395      8.2000      1.4825      0.0000
     270      18      13      6.7737      8.7125      1.5705      8.4448      8.7125      1.5121      0.0000
     271      19      13      6.7904      9.2250      1.5883      8.3502      9.2250      1.5417      0.0000
     272      20      13      6.8072      9.7375      1.6062      8.2555      9.7375      1.5712      0.0000
     273      21      13      6.8239     10.2500      1.6241      8.1609     10.2500      1.6008      0.0000
     274       1      14      6.6900      0.0000      1.3020      8.9180      0.0000      1.1852      0.0000
     275       2      14      6.6900      1.0250      1.3020      8.9180      1.0250      1.1852      0.0000
     276       3      14      6.6900      1.2300      1.3092      8.9180      1.2300      1.1924      0.0000
     277       4      14      6.6900      1.8450      1.3306      8.9180      1.8450      1.2139      0.0000
     278       5      14      6.6900      2.4600      1.3521      8.9180      2.4600      1.2353      0.0000
     279       6      14      6.6900      3.0750      1.3736      8.9180      3.0750      1.2568      0.0000
     280       7      14      6.6900      3.6900      1.3951      8.9180      3.6900      1.2783      0.0000
     281       8      14      6.6900      4.3050      1.4165      8.9180      4.3050      1.2998      0.0000
     282       9      14      6.6900      4.9200      1.4380      8.9180      4.9200      1.3213      0.0000
     283      10      14      6.6900      5.4325      1.4559      8.9180      5.4325      1.3391      0.0000
     284      11      14      6.6900      6.0475      1.4774      8.9180      6.0475      1.3606      0.0000
     285      12      14      6.6900      6.1500      1.4810      8.9180      6.1500      1.3642      0.0000
     286      13      14      6.6965      6.3499      1.4879      8.8811      6.3499      1.3757      0.0000
     287      14      14      6.7067      6.6625      1.4989      8.8234      6.6625      1.3938      0.0000
     288      15      14      6.7235      7.1750      1.5168      8.7287      7.1750      1.4234      0.0000
     289      16      14      6.7402      7.6875      1.5347      8.6341      7.6875      1.4529      0.0000
     290      17      14      6.7570      8.2000      1.5526      8.5395      8.2000      1.4825      0.0000
     291      18      14      6.7737      8.7125      1.5705      8.4448      8.7125      1.5121      0.0000
     292      19      14      6.7904      9.2250      1.5883      8.3502      9.2250      1.5417      0.0000
     293      20      14      6.8072      9.7375      1.6062      8.2555      9.7375      1.5712      0.0000
     294      21      14      6.8239     10.2500      1.6241      8.1609     10.2500      1.6008      0.0000
     295       1      15      6.6900      0.0000      1.3020      8.9180      0.0000      1.1852      0.0000
     296       2      15      6.6900      1.0250      1.3020      8.9180      1.0250      1.1852      0.0000
     297       3      15      6.6900      1.2300      1.3092      8.9180      1.2300      1.1924      0.0000
     298       4      15      6.6900      1.8450      1.3306      8.9180      1.8450      1.2139      0.0000
     299       5      15      6.6900      2.4600      1.3521      8.9180      2.4600      1.2353      0.0000
     300       6      15      6.6900      3.0750      1.3736      8.9180      3.0750      1.2568      0.0000
     301       7      15      6.6900      3.6900      1.3951      8.9180      3.6900      1.2783      0.0000
     302       8      15      6.6900      4.3050      1.4165      8.9180      4.3050      1.2998      0.0000
     303       9      15      6.6900      4.9200      1.4380      8.9180      4.9200      1.3213      0.0000
     304      10      15      6.6900      5.4325      1.4559      8.9180      5.4325      1.3391      0.0000
     305      11      15      6.6900      6.0475      1.4774      8.9180      6.0475      1.3606      0.0000
     306      12      15      6.6900      6.1500      1.4810      8.9180      6.1500      1.3642      0.0000
     307      13      15      6.6965      6.3499      1.4879      8.8811      6.3499      1.3757      0.0000
     308      14      15      6.7067      6.6625      1.4989      8.8234      6.6625      1.3938      0.0000
     309      15      15      6.7235      7.1750      1.5168      8.7287      7.1750      1.4234      0.0000
     310      16      15      6.7402      7.6875      1.5347      8.6341      7.6875      1.4529      0.0000
     311      17      15      6.7570      8.2000      1.5526      8.5395      8.2000      1.4825      0.0000
     312      18      15      6.7737      8.7125      1.5705      8.4448      8.7125      1.5121      0.0000
     313      19      15      6.7904      9.2250      1.5883      8.3502      9.2250      1.5417      0.0000
     314      20      15      6.8072      9.7375      1.6062      8.2555      9.7375      1.5712      0.0000
     315      21      15      6.8239     10.2500      1.6241      8.1609     10.2500      1.6008      0.0000
